indicator_code,indicator_name,country_code,country_name,year,value,source,collection_time,collection_date,collector_class
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,2000,487.424141384242,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1999,525.130597245974,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1998,361.601983057505,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1997,344.550491498963,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1996,369.394384135736,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1995,348.435238914394,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1994,262.129807445074,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1993,387.310054813122,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1992,301.77329696287,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1991,364.689296016645,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1990,371.101604332357,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1989,293.321949550953,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1988,326.179757700303,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1987,324.253765166191,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1986,285.771551064424,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1985,230.434117218913,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1984,238.574457355381,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1983,255.983601560726,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1982,305.0040635075,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
NY.GDP.PCAP.CD,GDP per capita (current US$),BJ,Benin,1981,319.718185970269,World Bank API,19:33:01.079902,2025-09-30,WorldBankCollector
